aa_ocompra;n_ocompra;aa_devengado;t_devengado;n_devengado;c_numcred;c_juris;c_sjuris;c_entidad;c_programa;c_inciso;c_pprincipal;c_pparcial;c_psparcial;c_ubica_geo;i_devengado;e_devengado
2021;65640;2022;DRP;13679;59281;70;0;0;5;3;3;5;0;6;1092,35;A
2021;65639;2023;DRP;5043;59284;70;0;0;5;3;3;5;0;8;69164,9;X
2021;65639;2022;DRP;10852;59284;70;0;0;5;3;3;5;0;8;397058,22;A
2021;65639;2022;DRP;11953;59284;70;0;0;5;3;3;5;0;8;679415,27;A
2021;65639;2022;DRP;7189;59284;70;0;0;5;3;3;5;0;8;388046,31;A
2021;65640;2022;DRP;9875;58906;70;0;0;70;3;3;5;0;4;85893,69;A
2021;65638;2022;DRP;7276;58906;70;0;0;70;3;3;5;0;4;22586,45;A
2021;65644;2022;DRP;9497;58908;70;0;0;5;3;3;5;0;4;3008,72;A
2021;37225;2022;DRP;13124;45153;55;0;0;3;3;3;5;0;1;10431792,95;A
2021;37224;2022;DRP;13712;45153;55;0;0;3;3;3;5;0;1;3508013,26;A
2021;37275;2022;DRP;13708;45153;55;0;0;3;3;3;5;0;1;1448698,2;A
2021;37242;2022;DRP;12587;45153;55;0;0;3;3;3;5;0;1;1336953,33;A
2021;37224;2022;DRP;13730;45153;55;0;0;3;3;3;5;0;1;3508013,26;A
2021;37242;2022;DRP;13255;45153;55;0;0;3;3;3;5;0;1;3965837,43;A
2021;37265;2022;DRP;12560;45153;55;0;0;3;3;3;5;0;1;10144681,17;A
2021;37210;2022;DRP;11392;45153;55;0;0;3;3;3;5;0;1;9398479,83;A
2021;37225;2022;DRP;9142;45153;55;0;0;3;3;3;5;0;1;5815102,1;A
2021;37242;2022;DRP;9143;45153;55;0;0;3;3;3;5;0;1;6806114,96;A
2021;37242;2022;DRP;10265;45153;55;0;0;3;3;3;5;0;1;7234572,58;A
2021;37225;2022;DRP;9245;45153;55;0;0;3;3;3;5;0;1;2120097,03;A
2021;37265;2022;DRP;5537;45153;55;0;0;3;3;3;5;0;1;1402864,41;A
2021;37275;2022;DRP;6403;45153;55;0;0;3;3;3;5;0;1;4770479,08;A
2021;37265;2022;DRP;5536;45153;55;0;0;3;3;3;5;0;1;1582509,88;A
2021;37210;2022;DRP;6564;45153;55;0;0;3;3;3;5;0;1;1018813,39;A
2021;37265;2022;DRP;6398;45153;55;0;0;3;3;3;5;0;1;5396016,71;A
2021;37225;2022;DRP;6891;45153;55;0;0;3;3;3;5;0;1;4401151,35;A
2021;37224;2022;DRP;3408;45153;55;0;0;3;3;3;5;0;1;5768479,38;A
2021;37265;2022;DRP;3810;45153;55;0;0;3;3;3;5;0;1;1736110,63;A
2021;37225;2022;DRP;1511;45153;55;0;0;3;3;3;5;0;1;3331580,27;A
2021;37225;2022;DRP;2255;45153;55;0;0;3;3;3;5;0;1;5161811,68;A
2021;37224;2022;DRP;2253;45153;55;0;0;3;3;3;5;0;1;1677240,13;A
2021;37210;2022;DRP;2199;45153;55;0;0;3;3;3;5;0;1;2016027,14;A
2021;65644;2022;DRP;13705;63031;70;0;0;51;3;3;5;0;4;849578,08;X
2021;65639;2023;DRP;4309;45848;70;0;0;1;3;3;5;0;4;114411,29;X
2021;65644;2022;DRP;10729;45848;70;0;0;1;3;3;5;0;4;2203554,78;A
2021;65644;2022;DRP;8424;45848;70;0;0;1;3;3;5;0;4;1262437,34;A
2021;65639;2022;DRP;5912;45848;70;0;0;1;3;3;5;0;4;2528636,4;A
2021;65641;2022;DRP;6699;45848;70;0;0;1;3;3;5;0;4;677768,39;A
2021;65644;2022;DRP;6763;45848;70;0;0;1;3;3;5;0;4;1052732,29;A
2021;65642;2022;DRP;4839;45848;70;0;0;1;3;3;5;0;4;97645,18;A
2020;37067;2022;DRP;4341;47153;20;23;0;70;3;3;1;0;14;1460811,47;A
2020;37067;2022;DRP;2728;47153;20;23;0;70;3;3;1;0;14;943557,59;A
2020;37067;2022;DRP;2258;47153;20;23;0;70;3;3;1;0;14;1426565,14;A
2020;37067;2022;DRP;9918;47154;20;23;0;70;3;3;3;0;14;2779449,22;A
2021;65639;2022;DRP;5912;49450;70;0;0;59;3;3;5;0;1;115676,86;A
2021;65638;2022;DRP;6153;49450;70;0;0;59;3;3;5;0;1;95117,97;A
2021;65644;2022;DRP;4806;49450;70;0;0;59;3;3;5;0;1;40601,42;A
2021;65644;2022;DRP;12549;49451;70;0;0;59;3;3;5;0;3;2776402,93;A
2021;65644;2022;DRP;8424;49451;70;0;0;59;3;3;5;0;3;13369352,66;A
