aa_oca_original;n_oca_original;aa_precepcion;t_precepcion;n_precepcion;c_numcred;c_juris;c_sjuris;c_entidad;c_inciso;c_pprincipal;c_pparcial;c_ubica_geo;i_total;e_formulario
2019;52131;2021;PRD;183181;24507;55;0;0;3;3;5;1;1966896;A
2020;37067;2021;PRD;199959;44363;20;23;0;3;3;1;14;2422,98;A
2020;46098;2022;PRD;51206;34055;26;26;0;3;3;1;4;3348942,62;A
2021;65644;2022;PRD;50854;39376;26;0;0;3;3;5;4;493841,73;A
2020;46014;2021;PRD;418696;35420;26;26;0;3;3;1;4;3070705,99;A
2014;56571;2016;PRD;52602;10324;30;0;0;3;3;5;1;2003;A
2014;56571;2016;PRD;52611;10324;30;0;0;3;3;5;1;2003;A
2014;56571;2016;PRD;52614;10324;30;0;0;3;3;5;1;2003;A
2023;49402;2023;PRD;416503;16324;45;0;0;3;3;1;1;20125025,57;A
2023;75533;2023;PRD;447686;53330;26;0;926;3;3;5;4;46152928,96;A
2021;65644;2023;PRD;427852;34802;26;26;0;3;3;5;1;7657831,37;A
2021;65643;2023;PRD;427995;16569;50;0;0;3;3;5;14;214845,98;A
2021;65645;2023;PRD;440002;10534;40;0;0;3;3;5;4;21760;A
2021;65645;2023;PRD;440002;15176;45;0;0;3;3;5;1;403618,82;A
2021;65645;2023;PRD;440002;54884;21;0;0;3;3;5;3;71271,48;A
2021;65639;2023;PRD;421001;5834;26;0;0;3;3;5;4;33947,29;A
2021;65639;2023;PRD;421001;6134;28;0;0;3;3;5;4;61461,16;A
2021;65639;2023;PRD;421001;7078;28;0;0;3;3;5;1;8135,93;A
2021;65639;2023;PRD;421001;25464;60;0;0;3;3;5;9;421084;A
2021;65645;2023;PRD;424020;15176;45;0;0;3;3;5;1;4353098,6;A
2021;65645;2023;PRD;424020;24213;55;0;0;3;3;5;1;1135732,8;A
2021;65645;2023;PRD;424020;54884;21;0;0;3;3;5;3;71271,48;A
2021;65645;2023;PRD;424020;57134;40;0;0;3;3;5;1;121776,63;A
2021;65638;2023;PRD;443763;15179;45;0;0;3;3;5;4;457616,28;A
2021;65638;2023;PRD;443763;39038;70;71;0;3;3;5;12;1421599,52;A
2021;65638;2023;PRD;443763;57134;40;0;0;3;3;5;1;99925,86;A
2021;65641;2022;PRD;60084;39380;21;0;0;3;3;5;4;1207260,25;A
2021;54913;2022;PRD;51286;44913;70;0;0;3;3;1;15;1001654,2;A
2014;56571;2016;PRD;52851;10324;30;0;0;3;3;5;1;2003;A
2020;46015;2021;PRD;212476;35420;26;26;0;3;3;1;4;3215369,74;A
2020;37067;2021;PRD;191813;44363;20;23;0;3;3;1;14;318864,21;A
2021;65638;2025;PRD;52618;41674;20;27;112;3;3;5;4;779240;A
